RecID,Recipe Name,Chef Name,Recipe Category,Recipe Description,Serving Size (PAX),Portion Size (grams or ounces),Plate Category,Cuisine Type,Cooking Method,Yield (Servings),RecipeImageCategory,Energy(kcal/100g),Fat(g/100g),SatFat(g/100g),Carb(g/100g),Sugar(g/100g),AddedSugar(g/100g),Fiber(g/100g),Protein(g/100g),Sodium(mg/100g),Salt(mg/100g),Cholesterol(g/100g),Vitamin D (g/100g),Calcium (g/100g),Iron(g/100g),Potassium(g/100g),%ofFruitsVegNutsOil,NUTRIGRADE,Celery,Cereals w/ Gluten,Crustaceans,Egg,Fish,Lupin,Milk,Molluscan Shellfish,Mustard,nuts,Peanut,Sesame,Soy,Sulfites,ALLERGENCONTAINS
AMMO-A-001,Beef lasagna,Amorim Montes Fabio Manuel,Meat,,20,180,Main Dish,Mediterranean,STEWED,4,"Italian Pasta (Spaghetti, Lasagna, Tagliatelle)",243.11,14.21,7.35,16.39,4.21,0.51,2.19,15.61,351.19,88.29,0.43,0.01,0.24,2.11,0.44,23.11,B,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Cereals w/ Gluten, Milk"
AMMO-A-003,Pork Adobo,Amorim Montes Fabio Manuel,Meat,,20,150,Second Section,International,STEWED,3,Stewed Pork,344.21,24.19,8.51,6.35,2.51,2.51,0.51,23.19,541.19,137.29,0.071,0.0012,0.021,0.011,0.351,5.19,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Soy
AMMO-BF-012,Battered Fish,Amorim Montes Fabio Manuel,Fish & Seafood,Cod or hake fish for fish and chips,30,150,Main Dish,International,DEEP FRIED,20,Fish Dishes (General),234.15,12.51,1.93,15.62,0.42,0,0.71,17.39,351.19,88.23,0.43,0.0012,0.032,0.73,0.34,0,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cereals w/ Gluten
AMMO-BPR-009,BBQ Pork Ribs,Amorim Montes Fabio Manuel,Meat,Glazed BBQ Sauce Pork Ribs,20,200,Main Dish,International,ROAST,20,Roasted Pork,344.21,24.19,8.35,6.53,4.21,2.15,0.35,23.19,541.23,137.19,0.065,0.0012,0.021,0.012,0.35,5,C,0,1,0,0,0,0,0,0,1,0,0,0,1,1,"Cereals w/ Gluten, Mustard, Soy, Sulfites"
AMMO-CLD-006,Chicken Leg Drumsticks,Amorim Montes Fabio Manuel,Meat,Chicken Drumsticks,30,180,Main Dish,International,ROAST,180,Roasted Chicken,165.41,8.23,2.35,0.45,0.04,0.04,0.08,20.55,433.19,109.29,0.065,0.005,0.015,0.93,0.24,0,B,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Cereals w/ Gluten, Mustard, Sulfites"
AMMO-F-004,Roast Pork Neck,Amorim Montes Fabio Manuel,Meat,,20,180,Main Dish,International,ROAST,10,Roasted Pork,344.21,24.19,8.35,0.35,0.12,0,0,25.61,433.19,109.29,0.074,0.0012,0.021,0.012,0.35,0,C,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Cereals w/ Gluten, Mustard, Sulfites"
AMMO-MGP-008,Mashed Green Peas,Amorim Montes Fabio Manuel,Vegetables,Mashed peas to pair with Fish and chips,10,100,Garnish,International,STEWED,10,Steamed Vegetables,83.19,0.45,0.06,16.33,5.67,0,5.66,5.42,1.42,0.36,0,0,0.03,0.001,0.24,0.97,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
AMMO-N-002,Chick Peas Curry,Amorim Montes Fabio Manuel,Vegetables,,10,180,Second Section,International,STEWED,3,"Legume Stews (Lentil Stew, Chickpea Curry)",104.41,2.19,0.31,17.39,4.51,0,4.85,4.94,141.19,355.19,0,0,0.06,1.71,0.55,85.19,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
AMMO-NG-014,Nasi Goreng,Amorim Montes Fabio Manuel,Rice & Grains,Fried rice with veggies,30,200,Main Dish,International,FRIED,200,"Rice Stir-Fry (Fried Rice, Nasi Goreng)",154.21,3.41,0.51,28.19,1.41,0.21,1.81,3.51,351.19,89.21,0.13,0,0.02,0.81,0.93,25.11,C,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"Celery, Egg, Soy"
AMMO-OS-012,OX-tail Stew,Amorim Montes Fabio Manuel,Meat,soft oxtail in a brown sauce,15,200,Second Section,International,STEWED,15,"Stewed Beef (Goulash, Beef Bourguignon)",243.11,14.29,4.35,10.41,3.19,0,1.35,20.59,434.78,109.69,0.06,0.01,0.03,0.02,0.35,23.45,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Celery, Cereals w/ Gluten"
AMMO-PA-010,penne arrabiata,Amorim Montes Fabio Manuel,Pasta,penne pasta with spicy tomato sauce,20,200,Second Section,Mediterranean,GRATED,20,"Italian Pasta (Spaghetti, Lasagna, Tagliatelle)",173.45,3.55,0.55,30.15,4.25,0,2.35,5.65,250,625,0,0,0.02,0.85,0.35,40,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
AMMO-PS-015,Pork Shaslik,Amorim Montes Fabio Manuel,Meat,Pork cubes in Skewers,20,180,Main Dish,International,GRILL,20,Skewers,243.11,14.51,4.93,6.19,2.35,0.41,0.81,23.19,541.19,136.91,0.065,0.0014,0.021,1.31,0.43,14.29,C,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Cereals w/ Gluten, Mustard, Sulfites"
AMMO-RB-015,Roast Beef,Amorim Montes Fabio Manuel,Meat,Beef striploin roasted,20,150,Main Dish,International,ROAST,20,Roasted Beef,233.85,14.41,4.93,0,0,0,0,26.59,54.41,13.85,0.074,0.0014,0.005,0.0027,0.035,0,B,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mustard
AMMO-SIC-010,Salmon in Crout,Amorim Montes Fabio Manuel,Fish & Seafood,salmon in puff pastry with spinach,15,150,Main Dish,International,ROAST,20,Fish Dishes (General),243.15,14.21,7.35,14.19,1.41,0,1.19,17.39,251.19,630.95,0.43,0.0012,0.021,0.85,0.24,20.15,B,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Cereals w/ Gluten, Egg"
